name,C,threshold,val_best_cost,test_cost,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
diffusion_augmented_lr,0.02,0.036000000000000004,12300,19280,0.3253012048192771,0.936,0.4828060522696011,0.9753374719999999,0.5710109514141462,14897,728,24,351
random_oversampling_lr,0.02,0.033,12030,19290,0.2986463620981388,0.9413333333333334,0.45343609505459215,0.9754816853333332,0.5720230735817743,14796,829,22,353
plain_lr_baseline,0.02,0.030000000000000002,12240,19450,0.29465776293823037,0.9413333333333334,0.4488239033693579,0.9754391893333333,0.5719603438969334,14780,845,22,353
