threshold,cost,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,name,val_best_cost
0.063,12600.0,0.3724279835390947,0.9653333333333334,0.5374907201187825,0.9862573226666667,0.7055447769591474,15015,610,13,362,rf_balanced,8940.0
0.461,17490.0,0.32155797101449274,0.9466666666666667,0.48005409060175797,0.9781216426666667,0.5758834770133292,14876,749,20,355,lr_balanced,9760.0
0.08,22440.0,0.30350877192982456,0.9226666666666666,0.45676567656765676,0.9743066453333332,0.5873010929874705,14831,794,29,346,lr_smote_3x,14090.0
0.047,23170.0,0.2554904831625183,0.9306666666666666,0.4009190120620333,0.9731879253333333,0.5849232260366778,14608,1017,26,349,lr_ros_2x,14690.0
0.065,24250.0,0.33497536945812806,0.9066666666666666,0.4892086330935252,0.9742158506666667,0.5884687638308186,14950,675,35,340,lr_smote_2x,14220.0
0.092,25890.0,0.3284600389863548,0.8986666666666666,0.48108493932905066,0.9738816853333334,0.5857874870711824,14936,689,38,337,lr_ros_3x,14290.0
0.094,27690.0,0.31718898385565053,0.8906666666666667,0.4677871148459384,0.9729715199999999,0.5820150636110824,14906,719,41,334,lr_diffusion_target2400,15020.0
0.068,28300.0,0.31326434619002824,0.888,0.4631432545201669,0.9728235520000001,0.5829084681800861,14895,730,42,333,lr_diffusion_target1600,15240.0
0.052000000000000005,28830.0,0.29838709677419356,0.888,0.44668008048289737,0.9723475626666667,0.5816050186767309,14842,783,42,333,lr_diffusion_target1200,15620.0
